Name	Intensity 01_IKA_0h_batch5	Intensity 02_IKA_0h_batch6	Intensity 03_IKA_0h_batch7	Intensity 04_IKA_2h_batch1	Intensity 05_IKA_2h_batch3	Intensity 06_IKA_2h_batch4	Intensity 07_IKA_6h_batch1	Intensity 08_IKA_6h_batch3	Intensity 09_IKA_6h_batch4	Intensity 10_IKA_12h_batch1	Intensity 11_IKA_12h_batch3	Intensity 12_IKA_12h_batch4	Intensity 13_IKA_18h_batch1	Intensity 14_IKA_18h_batch3	Intensity 15_IKA_18h_batch4	Intensity 16_IKA_24h_batch1	Intensity 17_IKA_24h_batch3	Intensity 18_IKA_24h_batch4
Rad23b	25.15321369	24.82011701	18.91983515	23.2517355	24.79014642	21.36121131	23.58577495	24.40723716	20.04766712	21.42403708	22.48760553	23.69975289	18.91983515	18.91983515	23.67992245	21.86872461	22.4845112	18.91983515
Rad50	24.97810328	25.23487443	22.04313411	17.31901935	21.32991894	23.6530506	21.53060065	21.97669696	21.61144272	17.31901935	17.31901935	19.48726695	24.91542864	26.13330044	26.12388111	19.90534881	19.82777066	17.31901935
Raly	27.59270533	27.61764883	24.61436657	25.8914778	27.67364217	27.43316694	28.14321356	28.12622694	26.142386	24.9821138	26.14421572	25.60458784	27.10629456	27.59284787	27.01966775	25.78623752	25.950225	23.45563225
Ran	29.7214934	29.46400242	28.22204827	27.23981657	29.72940839	30.01929659	30.15737851	30.83266172	28.86791205	27.42045307	28.74775225	28.47576027	28.76202039	28.68080113	28.13393731	27.63913477	28.05631026	25.81014679
Ranbp1	27.67498929	26.60187074	21.96989939	25.69306661	27.68605527	27.72455403	28.53441587	28.74919183	26.81200922	26.03508719	26.98761012	25.96166182	21.96989939	25.70780418	26.32507058	25.19253513	25.67098466	23.03246214
Ranbp2	26.02987442	25.21445312	22.98704191	24.26284384	25.53109466	25.81426052	25.71324302	26.4098771	24.1492646	23.90646493	23.13478539	23.3743794	25.16993509	26.09430228	25.14281444	24.13288877	24.04476897	21.62493286
Ranbp3	22.55074679	24.47165785	22.62401809	22.29527232	22.27093403	23.25623518	23.03056073	23.62209741	21.70438326	17.5328277	20.62729519	21.48054764	25.79721524	25.17573258	24.18495281	17.5328277	18.48840505	17.5328277
Rangap1	26.94010924	26.60512499	24.23739321	24.69545813	24.68640264	25.05444832	25.9882388	26.35815202	23.74970333	24.35803462	23.92079842	24.83069585	21.20842251	25.19415206	25.56159538	22.74190884	22.75431911	21.15214618
Rars	26.72987835	26.30185493	21.38131481	24.19895455	26.86643886	27.02770389	27.76603962	28.2131741	25.38248287	24.90297417	25.36479512	24.64107978	23.8374008	25.37092575	26.08468481	24.69991171	24.64954652	22.70482648
Raver1	23.19293389	23.46276286	16.87711635	16.87711635	24.31762073	23.64669318	25.22258267	25.79523451	21.29675717	16.87711635	21.31335029	22.02887596	16.87711635	21.67284139	20.31096773	20.95297723	19.63935837	16.87711635
Rbbp4	27.43714197	27.38747111	24.39218009	23.67809633	25.12841164	27.13975415	27.12455174	27.54000822	25.51559903	24.86825362	25.04689319	24.95438022	27.33526236	26.21024104	25.72650423	24.48437597	25.04543573	22.24817775
Rbbp7	25.66313199	25.61966498	21.49159869	21.49159869	25.72907447	26.48393027	27.10709317	27.50619994	26.09414117	23.96578428	24.68062007	24.34908357	21.61871886	22.63260744	23.41956934	23.89485772	23.80341222	21.55880185
Rbm14	27.88116186	27.81769189	20.48944425	24.78606299	26.88855449	27.28559751	27.0844618	27.88861255	25.92467679	25.71030281	26.22885171	25.72179324	20.48944425	25.81909384	26.31319804	25.80992608	25.79766054	23.40846865
Rbm25	24.22685078	25.43058527	23.04321757	21.85904789	24.82604684	25.20765574	25.38669848	25.66598014	22.86255185	23.17831107	22.87427073	22.65988095	25.63139779	25.62310273	25.18480151	23.35326315	23.50506428	20.96225777
Rbm28	24.13273191	22.6841031	21.6328071	19.00503237	22.76704805	21.18137795	23.67863366	23.95579958	21.31749653	19.62519157	21.41462331	21.51045899	24.28312623	24.87698899	21.7031584	19.57778654	20.21050488	17.81853225
Rbm3	21.49394533	21.91947149	21.49394533	25.21360057	28.9063273	29.41534405	28.87188217	29.7294246	27.82862744	26.14407955	27.31293847	26.52866765	24.1870693	25.42659211	25.06948189	25.77497462	26.02867366	24.34489185
Rbm39	26.2824017	25.94246028	25.7947389	25.44025075	26.27061685	25.84527181	26.72260119	27.10099255	24.79580425	24.59388802	25.26942235	24.80158799	24.20500986	23.93436109	25.0163557	24.5919496	24.55555245	22.2242031
Rbm8a	24.45788783	25.10141342	21.28302729	21.28302729	25.35356604	25.64888856	25.68904525	26.4374595	23.6177329	22.65140912	23.79133939	24.13406465	21.28302729	21.28302729	21.28302729	23.95659736	24.32724836	21.37745415
Rbmxl1;Rbmx	28.10279542	27.4708825	25.39630217	26.33429075	28.71233797	28.72207998	28.45763738	28.65649164	26.53832169	26.64182399	27.10009027	26.06541975	28.50385194	28.18357163	28.5408212	27.06773944	26.99948688	24.62444208
Rcc1	27.62568265	26.86419673	28.0910363	25.59795592	27.41304512	27.61519485	27.62030844	27.86230591	25.9270757	24.96578428	25.36892949	25.63117572	27.04249552	27.37135791	26.77843793	25.50497339	25.77861338	23.05361173
Rcc2	29.88714583	29.85970198	27.63512613	26.93382102	29.37218862	29.5161929	30.11830186	30.25541147	28.50797733	28.32397186	28.61235003	28.63747737	27.70628975	28.48615742	27.94402551	27.31993034	27.61020392	25.37861872
Rdx	24.39728189	25.60430505	14.79131554	22.33060291	24.49050963	24.12336807	23.97736099	24.02004942	20.1906301	14.79131554	20.8194837	21.14569337	14.79131554	14.79131554	22.43257452	18.47361856	19.28667507	14.79131554
Reep5	25.36058189	23.58554575	19.16732013	23.4230369	23.33524532	19.16732013	22.64994116	22.5052097	19.16732013	22.07309945	19.16732013	22.89463572	19.16732013	24.02115146	24.93535068	22.02188004	21.93120785	19.71990348
Rfc2	25.43768173	26.24932486	23.95943034	23.14800791	24.38699443	23.10488792	25.06443326	25.38498738	23.15339926	22.60797139	22.91270883	23.07711561	23.35474332	24.00864062	22.38558649	22.70771468	22.73065588	19.57085631
Rfc3	23.76233094	21.96923192	22.10065977	22.96721007	23.95517878	22.00281639	22.4812131	23.09595261	20.18458967	22.51207589	22.92059855	22.24921995	25.4844989	25.94451708	25.24099945	22.31462307	22.30454852	19.76658714
Rfc5	22.36559624	22.43506996	21.76044383	22.18564857	25.09699819	24.99864793	25.86980731	25.40265846	23.75531793	22.70292598	22.3534247	19.70494044	24.65997891	24.25925593	23.44151772	23.29963845	23.79610141	20.66188246
Rhoa	26.78755827	26.78531477	19.5284274	23.48037507	26.0203886	25.90467468	27.22692426	27.73724796	24.22073906	25.32175473	25.91154816	26.14324275	24.81958115	24.20500986	24.42700791	25.06426878	25.25659513	22.78903209
Rhog	25.587178	25.36759712	21.22940561	23.36932896	25.11298921	25.40684805	24.88306312	25.45732426	23.83364215	23.98102509	23.35232043	23.45763738	21.22940561	22.62426357	22.63307327	23.43211571	23.52181128	21.22940561
Rnh1	24.9125992	25.47673385	19.52867539	22.80021583	24.89555125	23.49680015	24.07985193	23.75195179	21.91743327	23.01178278	22.06427701	20.75270731	19.52867539	23.93687872	24.41866898	21.53378788	22.19556445	19.52867539
Rnps1	25.30040675	26.10291553	20.79534847	21.77052034	26.44621162	26.83496843	26.58548844	26.87197027	25.1190988	23.46563017	24.69545813	23.33374499	20.79534847	23.15881675	21.00764874	24.96239017	25.20284483	22.08423875
Rpa1	23.64603391	24.90738215	25.41047568	23.85984413	26.61792902	25.9788452	27.39550158	27.30417248	24.72254907	24.15699776	24.1344564	24.44600648	26.01573916	26.17951507	25.33653979	24.12091874	23.87539615	21.65608788
Rpa2	26.47787657	25.57149528	20.12880492	22.69523509	23.97692416	24.73737692	26.0209396	26.300878	22.08410897	24.30744209	24.16138718	24.31388998	20.12880492	24.5839977	22.10935882	22.5625797	23.28050913	20.12880492
Rpf2	24.83113093	24.20441293	19.64793617	19.64793617	25.08172202	25.13269269	25.07602288	25.68525332	22.04256649	22.32435307	23.28996483	22.7679977	19.64793617	21.54113444	19.64793617	21.03577102	21.37687151	19.64793617
