miRNA	I.0.1	I.0.2	I.0.4	I.2.1	I.2.2	I.2.4	I.6.1	I.6.2	I.6.4	I.12.1	I.12.2	I.12.4	I.18.1	I.18.2	I.18.4	I.24.1	I.24.2	I.24.4
mmu-miR-467a-5p	10.45314289	10.6145524	10.37849854	10.66361762	10.4536349	10.28324357	10.3743825	10.49028752	10.21722249	10.11945844	10.1218913	9.928564675	10.25513585	9.719031539	10.58940466	10.04468049	10.57035917	10.61153651
mmu-miR-467a-3p	4.082505437	4.467179142	3.8924692	4.366633914	3.689597569	3.717597186	2.897930002	4.01787638	3.664207575	3.178665644	3.108401155	4.072722262	2.623924783	2.814518859	3.415041141	3.216744376	2.409101339	2.306775968
mmu-miR-470-5p	1.270946962	1.902754494	1.267821325	0.764957222	1.330338521	1.168950405	1.28084227	0.878999631	1.545876083	0.908954172	1.016775368	1.56866103	1.798697249	0.562839032	1.515361675	1.171110656	1.451502362	1.089619092
mmu-miR-532-5p	11.35879631	11.31290119	11.69939289	12.2282222	12.19473652	11.4656639	11.88552332	12.13832355	11.46003519	12.72974934	12.30518805	11.62863482	13.04122124	12.9666358	12.43517113	13.14759187	13.17734633	12.96916572
mmu-miR-532-3p	7.637708632	8.127401555	7.729737994	9.08447619	8.574484283	7.627676596	8.379310431	9.256302011	8.065464863	8.701918986	9.281324642	8.314602256	8.96935845	9.301240107	9.001715192	9.416499678	9.51600166	9.182181381
mmu-miR-484	10.36104255	10.8924216	10.70773524	11.36436908	11.00972303	10.16490346	10.21217823	10.87178167	10.68528286	11.27088684	10.82626226	10.31419167	10.38140571	10.47435208	10.61075616	10.10252866	10.10452141	10.82487811
mmu-miR-541-5p	0.710141021	0.631219903	1.207398897	1.230390279	1.02165419	1.899521678	2.976705453	1.254009207	2.023686534	0.784841581	2.070764841	2.296998012	1.305902127	1.722676825	1.406085881	2.203490728	2.842540418	1.352474355
mmu-miR-542-5p	3.156211864	2.791014855	3.279380514	3.124842759	2.750523887	2.797411293	3.097927065	2.539619638	3.057628072	3.053518252	3.242203709	2.588764709	3.4475069	3.222477504	3.09665375	2.877523459	3.297266979	3.95559015
mmu-miR-542-3p	4.361660689	4.607042051	4.182420718	4.176699006	4.261360996	3.704633191	3.886656551	3.851392325	3.879585969	4.734738069	4.119956214	4.328083017	4.817018603	4.226246259	4.526371024	4.611747607	4.996391339	4.274268409
mmu-miR-20b-5p	11.09119625	11.36592417	10.89395795	10.88886216	11.26061139	11.50605738	11.43194026	11.05402989	10.89597297	10.75950838	10.97458176	11.11279081	10.98904692	10.83982365	10.93037894	11.06934337	10.99551965	10.5255596
