Name	TCGA-A6-3807	TCGA-A6-3808	TCGA-A6-3810	TCGA-AA-3518	TCGA-AA-3525	TCGA-AA-3526	TCGA-AA-3529	TCGA-AA-3531	TCGA-AA-3534	TCGA-AA-3552	TCGA-AA-3554	TCGA-AA-3561	TCGA-AA-3664	TCGA-AA-3666	TCGA-AA-3672	TCGA-AA-3684	TCGA-AA-3710	TCGA-AA-3715	TCGA-AA-3818	TCGA-AA-3848	TCGA-AA-3864	TCGA-AA-3986	TCGA-AA-3989	TCGA-AA-A00J	TCGA-AA-A00O	TCGA-AA-A00U	TCGA-AA-A010	TCGA-AA-A01D	TCGA-AA-A01F	TCGA-AA-A01P	TCGA-AA-A01R	TCGA-AA-A01S	TCGA-AA-A01T	TCGA-AA-A01V	TCGA-AA-A01X	TCGA-AA-A01Z	TCGA-AA-A022	TCGA-AA-A024	TCGA-AA-A029	TCGA-AA-A02E	TCGA-AA-A02H	TCGA-AA-A02J	TCGA-AA-A02O	TCGA-AA-A02R	TCGA-AA-A02Y	TCGA-AA-A03F	TCGA-AA-A03J
APOH	26.8191	30.6258	28.4869	29.495	25.8326	27.3259	27.8625	28.9284	28.6746	27.4128	27.673	27.5101	25.2129	26.1714	27.5861	28.7845	26.97	27.1553	28.8773	27.5222	27.7119	28.2616	26.4923	26.6137	29.3133	28.1559	28.3349	26.312	26.7006	28.1776	27.1649	27.6943	27.4757	28.8212	25.8899	22.7385	28.0196	28.7559	28.1709	26.0682	27.5361	27.0297	28.1656	28.2562	27.374	28.3877	26.0245
APOO	25.9231	25.016	24.902	25.4103	25.415	24.5323	25.2208	26.9924	23.353	25.0638	25.0448	24.5152	24.0447	26.1236	25.1031	25.129	25.1905	20.3973	24.6158	27.1422	25.8038	23.2259	25.5002	24.2538	27.2713	24.5225	24.5964	24.3045	22.9485	24.9808	24.4186	24.6505	25.4715	26.1398	25.6924	26.3164	24.6797	24.0914	25.2825	24.4333	26.4617	21.8446	24.5962	19.4858	25.3776	24.5008	25.3836
APPL1	23.4611	25.1559	23.223	25.7161	21.7747	24.114	24.4216	25.9003	23.8964	24.0487	22.5851	25.1149	23.135	24.5329	22.4026	23.5698	24.2801	19.4435	24.4571	27.194	19.4435	20.4242	22.2918	22.9292	27.0739	23.3563	24.0324	19.4435	19.6701	27.7159	23.5997	22.9055	25.0497	25.8616	22.8565	19.4435	19.4435	21.5193	24.4126	24.6209	19.4435	26.0889	25.2698	19.4435	24.9001	24.5375	24.1053
APRT	28.5951	26.1493	27.5315	30.0428	26.768	27.1597	29.0346	27.3571	28.8909	29.1535	27.9083	28.6483	27.4842	28.6599	28.8734	28.5099	28.0016	25.3206	28.6324	28.9091	30.0227	27.91	28.7251	27.6313	29.6342	28.956	28.4472	25.8221	23.0666	28.2403	29.038	27.101	27.4136	29.8021	28.5928	30.9528	26.8025	27.9525	28.2299	25.0382	27.8107	27.2332	27.3752	28.1319	27.9463	28.7994	27.5794
ARCN1	29.4014	27.4065	26.9047	29.4184	28.2601	28.7804	28.8836	29.7633	27.4953	28.3066	28.4625	28.9075	27.3808	28.4993	28.2128	30.2797	29.0032	25.3457	28.2658	29.9113	30.1134	26.9967	28.94	26.9561	29.0425	28.1088	28.6169	26.6072	26.4156	28.9061	28.2777	27.8125	29.0924	29.5595	27.8854	27.9124	27.0387	27.712	28.6814	26.9475	28.0906	26.3015	27.7983	27.1384	28.0506	29.537	27.2266
ARF3	27.135	26.042	26.345	26.5932	27.3573	28.3099	29.2359	27.3148	27.6772	26.5084	26.0076	22.2902	26.8667	29.1556	28.0797	28.1528	25.9674	21.3664	27.4088	29.6641	27.7231	27.7376	27.2829	25.3704	29.4061	28.6866	28.9438	24.0659	23.5802	28.9067	27.8902	28.0491	28.3489	27.9739	26.547	29.2857	28.2171	27.1616	29.6374	27.4354	27.9004	25.4113	27.7258	28.4116	28.8793	29.1516	26.1657
ARF4	26.9439	25.7008	25.9975	27.2378	26.7185	27.0871	27.8918	26.9834	25.6174	26.2385	26.4663	21.3419	25.4726	27.3734	27.4208	27.2317	27.0661	21.5788	26.6879	28.0348	28.4353	26.0835	27.245	26.1514	27.938	27.7449	28.5108	25.814	21.3419	27.8612	27.3871	26.2874	26.7678	26.3564	25.3187	28.5127	25.9707	25.7677	28.3737	26.5288	26.2093	23.8029	26.047	27.2342	27.4867	28.0609	26.5663
ARF6	25.6529	26.2853	25.0034	27.5239	23.8549	25.7945	27.204	25.7859	26.7905	26.1232	26.4652	22.1808	25.7683	25.2297	26.8586	26.6753	26.2851	22.1808	26.9152	27.7286	27.763	25.8298	26.4923	23.8766	25.4002	25.5382	27.1683	23.0479	24.6684	26.7311	26.6272	25.8601	25.8751	24.7904	24.0716	23.8546	24.9541	26.1857	27.4451	24.5895	25.9207	24.446	27.3357	25.7808	26.1699	27.3596	23.0767
ARFGAP1	23.8355	20.2029	24.089	23.9012	24.3005	24.3461	29.4283	27.6881	23.5206	24.1272	23.9016	25.5688	24.7174	25.302	23.8732	23.6689	24.8459	21.5896	22.8279	25.7761	25.726	21.5489	25.5415	22.388	26.9857	24.7074	23.0974	24.4614	23.7192	24.9302	24.388	23.8866	26.2739	25.7293	23.4899	20.2029	22.871	20.2029	25.8263	23.411	25.2868	22.5759	24.0294	23.7054	24.2421	25.4757	26.5091
ARFGAP2	25.3881	22.0759	22.0759	23.6193	22.19	23.7267	24.1143	25.6812	23.7192	25.6106	23.2892	25.6822	23.3611	25.5586	24.2246	25.0787	24.5073	22.0759	23.2744	26.6393	26.0342	22.9302	25.4968	23.0824	24.1112	25.1421	25.1103	23.0345	24.2726	23.8335	24.4074	23.88	25.41	28.0388	24.9521	22.0759	22.4148	24.2959	25.9157	23.4707	24.8845	23.4224	24.6918	23.7421	24.6512	25.8168	24.4496
