miRNA	Gene	Input
mmu-miR-466m-3p	Nmrk1	-1
mmu-miR-466m-3p	Ino80d	-1
mmu-miR-466m-3p	Pes1	-1
mmu-miR-466m-3p	Mis18a	-1
mmu-miR-466m-3p	Phip	-1
mmu-miR-466m-3p	Cdk5r1	-1
mmu-miR-466m-3p	Crem	-1
mmu-miR-466m-3p	Tmed5	-1
mmu-miR-466m-3p	Zfp503	-1
mmu-miR-466m-3p	Riok3	-1
mmu-miR-466m-3p	Etfbkmt	-1
mmu-miR-466m-3p	Pdpk1	-1
mmu-miR-466m-3p	Nxt2	-1
mmu-miR-466m-3p	Cenpi	-1
mmu-miR-466m-3p	Smoc2	-1
mmu-miR-466m-3p	Cbfb	-1
mmu-miR-466m-3p	Kat6a	-1
mmu-miR-466m-3p	Kdsr	-1
mmu-miR-466m-3p	Septin11	-1
mmu-miR-466m-3p	Mei4	-1
mmu-miR-466m-3p	Psd3	-1
mmu-miR-466m-3p	Six4	-1
mmu-miR-466m-3p	Trim42	-1
mmu-miR-466m-3p	Clptm1l	-1
mmu-miR-466m-3p	Cd300a	-1
mmu-miR-466m-3p	Shld2	-1
mmu-miR-466m-3p	Zfp446	-1
mmu-miR-466m-3p	Zfp354a	-1
mmu-miR-466m-3p	Iws1	-1
mmu-miR-466m-3p	Zcchc2	-1
mmu-miR-466m-3p	Nup35	-1
mmu-miR-466m-3p	Trhde	-1
mmu-miR-466m-3p	Cenpc1	-1
mmu-miR-466m-3p	Dimt1	-1
mmu-miR-466m-3p	Oip5	-1
mmu-miR-466m-3p	Pde1c	-1
mmu-miR-466m-3p	Serpinb1b	-1
mmu-miR-466m-3p	Zfp36l2	-1
mmu-miR-466m-3p	Nr3c2	-1
mmu-miR-466m-3p	Aicda	-1
mmu-miR-466m-3p	Rimklb	-1
mmu-miR-466m-3p	Cltc	-1
mmu-miR-466m-3p	Ccdc169	-1
mmu-miR-466m-3p	Six6	-1
mmu-miR-466m-3p	Fkbp5	-1
mmu-miR-466m-3p	Unk	-1
mmu-miR-466m-3p	Pde4b	-1
mmu-miR-466m-3p	Pitpnb	-1
mmu-miR-466m-3p	Pfkfb2	-1
mmu-miR-466m-3p	Psmc6	-1
mmu-miR-466m-3p	Slc16a10	-1
mmu-miR-466m-3p	Ccnt2	-1
mmu-miR-466m-3p	Lemd3	-1
mmu-miR-466m-3p	Syt16	-1
mmu-miR-466m-3p	Birc6	-1
mmu-miR-466m-3p	Chrng	-1
