TF	TG	Input
appY	hyaE	1
appY	hyaF	1
appY	appC	1
appY	appB	1
appY	appX	1
appY	appA	1
envY	ompF	1
envY	ompC	1
cusR	cyoE	1
cusR	cyoD	1
cusR	cyoC	1
cusR	cyoB	1
cusR	cyoA	1
cusR	cusR	1
cusR	cusS	1
cusR	cusC	1
cusR	cusF	1
cusR	cusB	1
cusR	cusA	1
cusR	yedX	1
dpiA	appY	1
dpiA	citG	1
dpiA	citX	1
dpiA	citF	1
dpiA	citE	1
dpiA	citD	1
dpiA	citC	1
dpiA	dpiB	1
dpiA	dpiA	1
dpiA	exuT	1
dpiA	mdh	1
nagC	nagB	1
nagC	nagA	1
nagC	nagC	1
nagC	umpH	1
nagC	nagE	1
nagC	chiP	1
nagC	ybfN	1
nagC	dinI	1
nagC	ydeM	1
nagC	ydeN	1
nagC	ydeP	1
nagC	chbG	1
nagC	chbF	1
nagC	chbR	1
nagC	chbA	1
nagC	chbC	1
nagC	chbB	1
nagC	manX	1
nagC	manY	1
nagC	manZ	1
nagC	ptsH	1
nagC	ptsI	1
nagC	crr	1
nagC	galP	1
nagC	feoA	1
nagC	feoB	1
nagC	feoC	1
nagC	feoA	1
nagC	feoB	1
nagC	feoC	1
nagC	glmU	1
nagC	glmS	1
nagC	glmU	1
nagC	glmS	1
nagC	nanS	1
nagC	nanM	1
nagC	nanC	1
nagC	fimB	1
nagC	creA	1
nagC	creB	1
nagC	creC	1
nagC	creD	1
fur	lpd	1
fur	lpd	1
fur	fhuA	1
fur	fhuA	1
fur	fhuC	1
fur	fhuC	1
fur	fhuD	1
fur	fhuD	1
fur	fhuB	1
fur	fhuB	1
fur	glnD	1
fur	crl	1
fur	yagI	1
fur	argF	1
fur	cyoE	1
fur	cyoD	1
fur	cyoC	1
fur	cyoB	1
fur	cyoA	1
fur	glnK	1
fur	glnK	1
fur	amtB	1
fur	amtB	1
fur	ybaN	1
fur	adk	1
fur	entD	1
fur	entD	1
fur	fepA	1
fur	fepA	1
fur	fes	1
fur	fes	1
fur	entF	1
fur	entF	1
fur	fepE	1
fur	fepE	1
fur	fepC	1
fur	fepC	1
fur	fepG	1
fur	fepG	1
fur	fepD	1
fur	fepD	1
fur	entS	1
fur	entS	1
fur	entS	1
fur	fepB	1
fur	fepB	1
fur	entC	1
fur	entE	1
fur	entB	1
fur	entA	1
fur	entH	1
fur	entC	1
fur	entE	1
fur	entB	1
fur	entA	1
fur	entH	1
fur	fur	1
fur	sdhC	1
fur	sdhD	1
fur	sdhA	1
fur	sdhB	1
fur	sucA	1
fur	sucB	1
fur	sucC	1
fur	sucD	1
fur	gpmA	1
fur	gpmA	1
fur	ybiX	1
fur	fiu	1
fur	fiu	1
fur	aspC	1
fur	ompF	1
fur	efeU_1	1
fur	efeU_2	1
fur	efeO	1
fur	efeB	1
fur	pyrC	1
fur	fhuE	1
fur	fhuE	1
fur	ndh	1
fur	ycgZ	1
fur	oppA	1
fur	oppB	1
fur	oppC	1
fur	oppD	1
fur	oppF	1
fur	tonB	1
fur	tonB	1
fur	acnA	1
fur	fnr	1
fur	yncE	1
fur	adhP	1
fur	yddB	1
fur	yddA	1
fur	tfaQ	1
fur	ydfN	1
fur	nohA	1
fur	ynfD	1
fur	fumC	1
fur	purR	1
fur	sufE	1
fur	sufE	1
fur	sufS	1
fur	sufS	1
fur	sufD	1
fur	sufD	1
fur	sufC	1
fur	sufC	1
fur	sufB	1
fur	sufB	1
fur	sufA	1
fur	sufA	1
fur	ydiE	1
fur	katE	1
fur	gdhA	1
fur	gdhA	1
fur	mntP	1
fur	zwf	1
fur	flhD	1
fur	flhC	1
fur	ftnB	1
fur	ftnA	1
fur	ftnA	1
fur	zinT	1
fur	nac	1
fur	yoeA	1
fur	gnd	1
fur	rcnA	1
fur	rcnB	1
fur	cirA	1
fur	cirA	1
fur	cirA	1
fur	yojI	1
fur	mntH	1
fur	mntH	1
fur	hmp	1
fur	grcA	1
fur	ygaC	1
fur	nrdH	1
fur	nrdI	1
fur	nrdE	1
fur	nrdF	1
fur	nrdH	1
fur	nrdI	1
fur	nrdE	1
fur	nrdF	1
fur	rpoS	1
fur	hybO	1
fur	hybA	1
fur	hybB	1
fur	hybC	1
fur	hybD	1
fur	hybE	1
fur	hybF	1
fur	hybG	1
fur	exbD	1
fur	exbD	1
fur	exbD	1
fur	exbB	1
fur	exbB	1
fur	yqjH	1
fur	yqjH	1
fur	garP	1
fur	garL	1
fur	garR	1
fur	garK	1
fur	rnpB	1
fur	gltB	1
fur	gltD	1
fur	gltF	1
fur	gspC	1
fur	gspD	1
fur	gspE	1
fur	gspF	1
fur	gspG	1
fur	gspH	1
fur	gspI	1
fur	gspJ	1
fur	gspK	1
fur	gspL	1
fur	gspM	1
fur	gspO	1
fur	feoA	1
fur	feoB	1
fur	feoC	1
fur	feoA	1
fur	feoB	1
fur	feoC	1
fur	yhhY	1
fur	sodA	1
fur	zapB	1
fur	metJ	1
fur	katG	1
fur	metH	1
fur	soxS	1
fur	soxR	1
fur	fumB	1
fur	fecA	1
fur	fecB	1
fur	fecC	1
fur	fecD	1
fur	fecE	1
fur	fecA	1
fur	fecB	1
fur	fecC	1
fur	fecD	1
fur	fecE	1
fur	fecI	1
fur	fecR	1
fur	fecI	1
fur	fecR	1
fur	uxuA	1
fur	uxuB	1
fur	yjiT	1
fur	fhuF	1
fur	fhuF	1
fur	ryhB	1
fur	ryhB	1
fur	ybdZ	1
fur	ybdZ	1
fur	yjjZ	1
fur	yjjZ	1
kdpE	kdpF	1
kdpE	kdpA	1
kdpE	kdpB	1
kdpE	kdpC	1
mngR	mngR	1
mngR	mngA	1
mngR	mngB	1
modE	modA	1
modE	modB	1
modE	modC	1
modE	moaA	1
modE	moaB	1
modE	moaC	1
modE	moaD	1
modE	moaE	1
modE	dmsA	1
modE	dmsB	1
modE	dmsC	1
modE	narL	1
modE	narX	1
modE	oppA	1
modE	oppB	1
modE	oppC	1
modE	oppD	1
modE	oppF	1
modE	ccmH	1
modE	ccmG	1
modE	ccmF	1
modE	ccmE	1
modE	ccmD	1
modE	ccmC	1
modE	ccmB	1
modE	ccmA	1
modE	napC	1
modE	napB	1
modE	napH	1
modE	napG	1
modE	napA	1
modE	napD	1
modE	napF	1
modE	hycI	1
modE	hycH	1
modE	hycG	1
modE	hycF	1
modE	hycE	1
modE	hycD	1
modE	hycC	1
modE	hycB	1
modE	hycA	1
modE	deoC	1
modE	deoA	1
modE	deoB	1
modE	deoD	1
cecR	ybhR	1
cecR	ybhS	1
cecR	ybhF	1
cecR	ybhG	1
cecR	cecR	1
mntR	dps	1
mntR	mntP	1
mntR	mntH	1
mntR	rybA	1
mntR	mntS	1
deoR	tsx	1
deoR	nupG	1
deoR	deoC	1
deoR	deoA	1
deoR	deoB	1
deoR	deoD	1
rcdA	yagK	1
rcdA	sulA	1
rcdA	csgG	1
rcdA	csgF	1
rcdA	csgE	1
rcdA	csgD	1
rcdA	bluF	1
rcdA	ydeI	1
rcdA	asr	1
lrp	thrL	1
lrp	thrA	1
