TF	TG	Input
Crx	Pde6a	1
Crx	Pde6b	1
Crx	Pde6b	1
Crx	Rbp3	1
Crx	Rbp3	1
Crx	Rho	1
Crx	Rho	1
Crx	Rs1	1
Crx	Sag	1
Crx	Sag	1
Crx	Samd11	1
Crx	Samd7	1
Cry1	Per2	1
Csf1	Cd36	1
Csf2	Itgb3	1
Ctcf	Atxn7	1
Ctcf	Celsr3	1
Ctcf	Csf2	1
Ctcf	Igf2	1
Ctcf	Irak2	1
Ctcf	Mgat5b	1
Ctcf	Pax6	1
Ctcf	Pax6	1
Ctcfl	Gal3st1	1
Ctf1	Tgfb1	1
Ctnnb1	Atoh1	1
Ctnnb1	Axin2	1
Ctnnb1	Axin2	1
Ctnnb1	Bcl2l1	1
Ctnnb1	Bglap	1
Ctnnb1	Bglap2	1
Ctnnb1	Birc5	1
Ctnnb1	Bmp4	1
Ctnnb1	Casp3	1
Ctnnb1	Ccl7	1
Ctnnb1	Ccnd1	1
Ctnnb1	Ccnd1	1
Ctnnb1	Ccne1	1
Ctnnb1	Cdh1	1
Ctnnb1	Cdx1	1
Ctnnb1	Cdx2	1
Ctnnb1	Cdx4	1
Ctnnb1	Cyp19a1	1
Ctnnb1	Cyp2b10	1
Ctnnb1	E2f1	1
Ctnnb1	Ephb2	1
Ctnnb1	Fas	1
Ctnnb1	Fgf8	1
Ctnnb1	Fgfbp1	1
Ctnnb1	Vegfd	1
Ctnnb1	Foxa2	1
Ctnnb1	Foxj1	1
Ctnnb1	Gast	1
Ctnnb1	Gja1	1
Ctnnb1	Gja1	1
Ctnnb1	Glul	1
Ctnnb1	Grem2	1
Ctnnb1	Ihh	1
Ctnnb1	Inha	1
Ctnnb1	Isl1	1
Ctnnb1	Lect2	1
Ctnnb1	Lef1	1
Ctnnb1	Lhb	1
Ctnnb1	Met	1
Ctnnb1	Mitf	1
Ctnnb1	Mmp13	1
Ctnnb1	Mmp7	1
Ctnnb1	Mmp7	1
Ctnnb1	Myc	1
Ctnnb1	Mycn	1
Ctnnb1	Myf5	1
Ctnnb1	Nanog	1
Ctnnb1	Neurog1	1
Ctnnb1	Nr0b1	1
Ctnnb1	Otx2	1
Ctnnb1	Pdgfra	1
Ctnnb1	Pitx2	1
Ctnnb1	Pml	1
Ctnnb1	Ppard	1
Ctnnb1	Ptgs2	1
Ctnnb1	Ptgs2	1
Ctnnb1	Rapsn	1
Ctnnb1	Runx2	1
Ctnnb1	Slc2a1	1
Ctnnb1	Smc3	1
Ctnnb1	Tbx3	1
Ctnnb1	Tcf4	1
Ctnnb1	Twist1	1
Ctnnb1	Twist1	1
Ctnnb1	Vegfa	1
Ctnnb1	Wisp1	1
Ctnnb1	Wnt1	1
Ctnnb1	Wnt4	1
Ctr9	Il6	1
Cux1	Atp6v1e2	1
Cux1	Ccna2	1
Cux1	Cdkn1a	1
Cux1	Cdkn1b	1
Cux1	Dctn6	1
Cux1	Fam89b	1
Cux1	Hist2h4	1
Cux1	1-Mar	1
Cux1	Myc	1
Cux1	Ncam1	1
Cux1	Pola1	1
Cux1	Runx2	1
Cux1	Sis	1
Cux2	Cdkn1b	1
Dab2	Axin1	1
Dach1	Ccnd1	1
Dach1	Cdkn1b	1
Dach1	Cxcl15	1
Dach1	Klf4	1
Dach1	Lin28a	1
Dach1	Nanog	1
Dach1	Sox2	1
Dach2	Myog	1
Daxx	Birc2	1
Daxx	Birc3	1
Daxx	Nr5a1	1
Daxx	Mapk8ip1	1
Daxx	Trp53	1
Dbp	Arnt	1
Dbp	Bik	1
Dbp	Per1	1
Ddit3	Bbc3	1
Ddit3	Nos3	1
Ddx5	Igf2	1
Ddx54	Mbp	1
Ddx58	Ifnb1	1
Deaf1	Eif4g3	1
Dlx1	Arx	1
Dlx2	Amelx	1
Dlx2	Arx	1
Dlx2	Dlx6	1
Dlx2	Foxj1	1
Dlx2	Nrp2	1
Dlx2	Pagr1a	1
Dlx3	Bglap	1
Dlx3	Dspp	1
Dlx3	Hsd3b6	1
Dlx3	Mmp9	1
Dlx3	Pgf	1
Dlx3	Runx2	1
Dlx5	Alpl	1
Dlx5	Dspp	1
Dlx5	Gbx2	1
Dlx5	Ibsp	1
Dlx5	Igfbp3	1
Dlx5	Myc	1
Dlx5	Runx2	1
Dlx5	Runx2	1
Dlx5	Sp7	1
Dlx5	Wnt5a	1
